column,value,count
agent,257.0,2
agent,74.0,2
agent,359.0,2
agent,173.0,2
agent,162.0,2
agent,205.0,2
agent,411.0,2
agent,106.0,2
agent,77.0,2
agent,479.0,2
agent,64.0,2
agent,57.0,2
agent,425.0,2
agent,459.0,2
agent,256.0,2
agent,354.0,2
agent,375.0,2
agent,455.0,1
agent,313.0,1
agent,182.0,1
agent,275.0,1
agent,418.0,1
agent,129.0,1
agent,406.0,1
agent,60.0,1
agent,262.0,1
agent,211.0,1
agent,502.0,1
agent,128.0,1
agent,432.0,1
agent,287.0,1
agent,394.0,1
agent,183.0,1
agent,344.0,1
agent,53.0,1
agent,310.0,1
agent,404.0,1
agent,364.0,1
agent,286.0,1
agent,508.0,1
agent,50.0,1
agent,405.0,1
agent,285.0,1
agent,288.0,1
agent,163.0,1
agent,33.0,1
agent,103.0,1
agent,247.0,1
agent,461.0,1
agent,423.0,1
agent,23.0,1
days_in_waiting_list,0,9451
days_in_waiting_list,39,20
days_in_waiting_list,58,18
days_in_waiting_list,69,11
days_in_waiting_list,50,10
days_in_waiting_list,35,10
days_in_waiting_list,44,10
days_in_waiting_list,31,10
days_in_waiting_list,46,9
days_in_waiting_list,96,9
days_in_waiting_list,3,8
days_in_waiting_list,111,8
days_in_waiting_list,15,7
days_in_waiting_list,122,7
days_in_waiting_list,77,7
days_in_waiting_list,87,6
days_in_waiting_list,101,5
days_in_waiting_list,20,5
days_in_waiting_list,62,5
days_in_waiting_list,56,5
days_in_waiting_list,34,5
days_in_waiting_list,223,5
days_in_waiting_list,99,5
days_in_waiting_list,19,5
days_in_waiting_list,22,5
days_in_waiting_list,391,4
days_in_waiting_list,45,4
days_in_waiting_list,63,4
days_in_waiting_list,68,4
days_in_waiting_list,38,4
days_in_waiting_list,28,4
days_in_waiting_list,85,3
days_in_waiting_list,236,3
days_in_waiting_list,4,3
days_in_waiting_list,55,3
days_in_waiting_list,32,3
days_in_waiting_list,187,3
days_in_waiting_list,176,3
days_in_waiting_list,91,3
days_in_waiting_list,41,3
days_in_waiting_list,60,3
days_in_waiting_list,215,3
